Date,close,oil price
2022/8/23,21528.08789,99.49
2022/8/24,21395.01953,99.87
2022/8/25,21600.9043,98.81
2022/8/26,20260.01953,101.13
2022/8/30,19796.80859,99.34
2022/8/31,20049.76367,96.55
2022/9/1,20127.14063,92.24
2022/9/2,19969.77148,93.09
2022/9/5,19812.37109,94.22
2022/9/6,18837.66797,91.43
2022/9/7,19290.32422,86.83
2022/9/8,19329.83398,87.99
2022/9/9,21381.15234,91.68
2022/9/12,22370.44922,93.45
2022/9/13,20296.70703,92.04
2022/9/14,20241.08984,92.83
2022/9/15,19701.21094,89.28
2022/9/16,19772.58398,89.43
2022/9/20,18890.78906,89.62
2022/9/21,18547.40039,89.86
2022/9/22,19413.55078,90.4
2022/9/23,19297.63867,84.29
2022/9/26,19222.67188,82.55
2022/9/27,19110.54688,85.97
2022/9/28,19426.7207,89.55
2022/9/29,19573.05078,89.41
2022/9/30,19431.78906,88.9
2022/10/3,19623.58008,90.68
2022/10/4,20336.84375,93.74
2022/10/5,20160.7168,94.35
2022/10/6,19955.44336,95.65
2022/10/7,19546.84961,98.88
2022/10/10,19141.48438,97.13
2022/10/11,19051.41797,95.17
2022/10/12,19157.44531,93.44
2022/10/13,19382.9043,95.16
2022/10/14,19185.65625,92.22
2022/10/17,19550.75781,91.04
2022/10/18,19334.41602,89.46
2022/10/19,19139.53516,91.34
2022/10/20,19053.74023,91.52
2022/10/21,19172.46875,91.82
2022/10/24,19345.57227,91.57
2022/10/25,20095.85742,91.76
2022/10/26,20770.44141,92.93
2022/10/27,20285.83594,94.17
2022/10/28,20595.35156,94.64
2022/10/31,20495.77344,93.3
2022/11/1,20485.27344,95.12
2022/11/2,20159.50391,96.07
2022/11/3,20209.98828,95.29
2022/11/4,21147.23047,99.53
2022/11/7,20602.81641,99.87
2022/11/8,18541.27148,96.85
2022/11/9,15880.78027,93.05
2022/11/10,17586.77148,94.25
2022/11/11,17034.29297,96.37
2022/11/14,16618.19922,93.59
2022/11/15,16884.61328,94.3
2022/11/16,16669.43945,92.61
2022/11/17,16687.51758,91
2022/11/18,16697.77734,88.93
2022/11/21,15787.28418,88.44
2022/11/22,16189.76953,88.65
2022/11/23,16610.70703,85.9
2022/11/24,16604.46484,85.59
2022/11/25,16521.8418,83.4
2022/11/28,16217.32227,83.5
2022/11/29,16444.98242,83.22
2022/11/30,17168.56641,85.61
2022/12/1,16967.13281,86.28
2022/12/2,17088.66016,86.54
2022/12/5,16974.82617,83.36
2022/12/6,17089.50391,79.92
2022/12/7,16848.12695,77.11
2022/12/8,17233.47461,76.02
2022/12/9,17133.15234,76.37
2022/12/12,17206.4375,78
2022/12/13,17781.31836,80.14
2022/12/14,17815.65039,83.33
2022/12/15,17364.86523,82.34
2022/12/16,16647.48438,80.2
2022/12/19,16439.67969,81.66
2022/12/20,16906.30469,79.45
2022/12/21,16817.53516,80.25
2022/12/22,16830.3418,79.58
2022/12/23,16796.95313,82.45
2022/12/28,16552.57227,81.7
2022/12/29,16642.3418,80.96
2022/12/30,16602.58594,82.82
